Time (s),Shoulder Joint,Elbow Joint,Wrist Joint,Finger Joint,Drum Bead,cm,100bpm
0.495833333,0,-23.84247179,-26.40164111,-18.77771337,4.439531779,,
0.5,0,-23.786554,-26.6766609,-19.13507076,4.022391011,,
0.504166667,0,-23.74179713,-26.98163028,-19.5592394,3.713292929,,
0.508333333,0,-23.71033477,-27.32379604,-20.06248051,3.387568131,,
0.5125,0,-23.69283106,-27.70784987,-20.65005077,2.901087118,,
0.516666667,0,-23.68858386,-28.13443234,-21.31946731,2.201377729,,
0.520833333,0,-23.69602969,-28.60090388,-22.06135243,1.334338172,,
0.525,0,-23.71345752,-29.10301627,-22.86368733,0.37410408,,
0.529166667,0,-23.73947268,-29.63554984,-23.71356619,-0.643301614,,
0.533333333,0,-23.77279499,-30.19275517,-24.59685764,-1.713804576,,
0.5375,0,-23.81158741,-30.76871539,-25.50077321,-2.818159821,,
0.541666667,0,-23.85307037,-31.35611888,-26.4175728,-3.951963572,,
0.545833333,0,-23.89414693,-31.94560395,-27.34632213,-5.173977858,,
0.55,0,-23.93252786,-32.52725272,-28.29168582,-6.527777064,,
0.554166667,0,-23.96731012,-33.0921566,-29.26064782,-7.954834891,,
0.558333333,0,-23.99845038,-33.6332973,-30.26086231,-9.367315614,,
0.5625,0,-24.0256794,-34.14599542,-31.30062016,-10.75968527,,
0.566666667,0,-24.04899196,-34.62838792,-32.38773878,-12.18569355,,
0.570833333,0,-24.07023931,-35.081839,-33.52805782,-13.69091861,,
0.575,0,-24.09262038,-35.50956966,-34.72390848,-15.34136705,,
0.579166667,0,-24.1185726,-35.91402815,-35.97140901,-17.25196373,,
0.583333333,0,-24.14884022,-36.29517275,-37.25891385,-19.51150526,,
0.5875,0,-24.18311158,-36.65064164,-38.56881473,-22.10793032,,
0.591666667,0,-24.22123701,-36.97793738,-39.87997652,-24.97715699,,
0.595833333,0,-24.26412071,-37.27684692,-41.16924673,-28.11493064,,
0.6,0,-24.31369227,-37.55022793,-42.41267573,-31.58358124,,
0.604166667,0,-24.37203555,-37.80367975,-43.58590546,-35.38180291,,
0.608333333,0,-24.44035946,-38.04495883,-44.66339479,-39.3123285,,
0.6125,0,-24.51806176,-38.28242133,-45.61665223,-42.94963668,,
0.616666667,0,-24.60218346,-38.52233753,-46.41423334,-45.69906626,,
0.620833333,0,-24.6883431,-38.76755435,-47.02739866,-46.99359912,,
0.625,0,-24.77242275,-39.01850456,-47.43966973,-46.66141035,,
0.629166667,0,-24.85131304,-39.27425748,-47.65435596,-45.12800821,,
0.633333333,0,-24.92325426,-39.5325523,-47.69591612,-43.12620784,,
0.6375,0,-24.98799432,-39.78994374,-47.60356646,-41.24808021,,
0.641666667,0,-25.04560027,-40.04243965,-47.41973711,-39.80596299,,
0.645833333,0,-25.09490397,-40.28577265,-47.18067408,-38.91852432,,
0.65,0,-25.13382441,-40.51571959,-46.91373101,-38.567302,,
0.654166667,0,-25.1607669,-40.72891442,-46.63835447,-38.62100754,,
0.658333333,0,-25.17512311,-40.92287905,-46.36703458,-38.91017441,,
0.6625,0,-25.17717724,-41.09558661,-46.10788386,-39.31692106,,
